,Unnamed: 0,question,correct_answer,guess,buzz,sentence_count,guess_word_count,guess_has_paren,guess_length,guess_entity
13,13,".A drunken scene follows a singing contest in this author's story ""The Singer."" Five boys guarding horses tell ghost stories around a fire in another of his stories called ""Bezhin Lea."" Liza joins a convent after the appearance of Lavretsky's supposed-dead wife in one of his novels, while Elena's interaction with a Bulgarian patriot forms the basis of another of his works. This author of Home of the Gentry and On the Eve also wrote about Natasha's failed love with the title nobleman in Rudin, as well as an account about a man bed-ridden in Sheep's Springs with only two weeks to live, Chulkaturin. For 10 points, name this author of Diary of a Superfluous Man, A Sportsman's Sketches, and a novel about Arkardy Kirsanov and the nihilist Bazarov, Fathers and Sons",Ivan Turgenev,Fathers_and_Sons_(novel),False,6,4,1,24,"{'entity': 'I-MISC', 'score': 0.7870887, 'index': 1, 'word': 'Fathers', 'start': 0, 'end': 7}"
14,14,".A drunken scene follows a singing contest in this author's story ""The Singer."" Five boys guarding horses tell ghost stories around a fire in another of his stories called ""Bezhin Lea."" Liza joins a convent after the appearance of Lavretsky's supposed-dead wife in one of his novels, while Elena's interaction with a Bulgarian patriot forms the basis of another of his works. This author of Home of the Gentry and On the Eve also wrote about Natasha's failed love with the title nobleman in Rudin, as well as an account about a man bed-ridden in Sheep's Springs with only two weeks to live, Chulkaturin. For 10 points, name this author of Diary of a Superfluous Man, A Sportsman's Sketches, and a novel about Arkardy Kirsanov and the nihilist Bazarov, Fathers and Sons.",Ivan Turgenev,Fathers_and_Sons_(novel),False,7,4,1,24,"{'entity': 'I-MISC', 'score': 0.7870887, 'index': 1, 'word': 'Fathers', 'start': 0, 'end': 7}"
15,15,"A drunken scene follows a singing contest in this author's story ""The Singer."" Five boys guarding horses tell ghost stories around a fire in another of his stories called ""Bezhin Lea."" Liza joins a convent after the appearance of Lavretsky's supposed-dead wife in one of his novels, while Elena's interaction with a Bulgarian patriot forms the basis of another of his works. This author of Home of the Gentry and On the Eve also wrote about Natasha's failed love with the title nobleman in Rudin, as well as an account about a man bed-ridden in Sheep's Springs with only two weeks to live, Chulkaturin. For 10 points, name this author of Diary of a Superfluous Man, A Sportsman's Sketches, and a novel about Arkardy Kirsanov and the nihilist Bazarov, Fathers and Sons.",Ivan Turgenev,Fathers_and_Sons_(novel),False,6,4,1,24,"{'entity': 'I-MISC', 'score': 0.7870887, 'index': 1, 'word': 'Fathers', 'start': 0, 'end': 7}"
16,16,".This economist connects cosmos and taxis with thesis and nomos in three volumes entitled ""Rules and Order,"" He wrote ""The Mirage of Social Justice"" in a work entitled Law, Legislation, and Liberty",Friedrich von Hayek,On_Liberty,False,2,2,0,10,"{'entity': 'I-ORG', 'score': 0.8730507, 'index': 1, 'word': 'On', 'start': 0, 'end': 2}"
17,17,".This economist connects cosmos and taxis with thesis and nomos in three volumes entitled ""Rules and Order,"" He wrote ""The Mirage of Social Justice"" in a work entitled Law, Legislation, and Liberty. Oskar Ryszard Lange was rebuked by this economist in an essay entitled ""The Use of Knowledge in Society,"" which is contained in a work entitled Individualism and Economic Order",Friedrich von Hayek,Dorothea_Lange,False,3,2,0,14,"{'entity': 'I-PER', 'score': 0.9042378, 'index': 1, 'word': 'Dorothea', 'start': 0, 'end': 8}"
18,18,".This economist connects cosmos and taxis with thesis and nomos in three volumes entitled ""Rules and Order,"" He wrote ""The Mirage of Social Justice"" in a work entitled Law, Legislation, and Liberty. Oskar Ryszard Lange was rebuked by this economist in an essay entitled ""The Use of Knowledge in Society,"" which is contained in a work entitled Individualism and Economic Order. Three parts entitled ""The Value of Freedom,"" ""Freedom and the Law,"" and ""Freedom in the Welfare State"" comprise his The Constitution of Liberty, which he appended with the postscript ""Why I am Not a Conservative",Friedrich von Hayek,Dorothea_Lange,False,4,2,0,14,"{'entity': 'I-PER', 'score': 0.9042378, 'index': 1, 'word': 'Dorothea', 'start': 0, 'end': 8}"
19,19,".This economist connects cosmos and taxis with thesis and nomos in three volumes entitled ""Rules and Order,"" He wrote ""The Mirage of Social Justice"" in a work entitled Law, Legislation, and Liberty. Oskar Ryszard Lange was rebuked by this economist in an essay entitled ""The Use of Knowledge in Society,"" which is contained in a work entitled Individualism and Economic Order. Three parts entitled ""The Value of Freedom,"" ""Freedom and the Law,"" and ""Freedom in the Welfare State"" comprise his The Constitution of Liberty, which he appended with the postscript ""Why I am Not a Conservative."" For 10 points, name this Austrian-born economist who used Nazi Germany and the Soviet Union as examples of arguing that collectivism tends to lead to tyranny in The Road to Serfdom",Friedrich von Hayek,On_Liberty,False,5,2,0,10,"{'entity': 'I-ORG', 'score': 0.8730507, 'index': 1, 'word': 'On', 'start': 0, 'end': 2}"
20,20,".This economist connects cosmos and taxis with thesis and nomos in three volumes entitled ""Rules and Order,"" He wrote ""The Mirage of Social Justice"" in a work entitled Law, Legislation, and Liberty. Oskar Ryszard Lange was rebuked by this economist in an essay entitled ""The Use of Knowledge in Society,"" which is contained in a work entitled Individualism and Economic Order. Three parts entitled ""The Value of Freedom,"" ""Freedom and the Law,"" and ""Freedom in the Welfare State"" comprise his The Constitution of Liberty, which he appended with the postscript ""Why I am Not a Conservative."" For 10 points, name this Austrian-born economist who used Nazi Germany and the Soviet Union as examples of arguing that collectivism tends to lead to tyranny in The Road to Serfdom.",Friedrich von Hayek,On_Liberty,False,6,2,0,10,"{'entity': 'I-ORG', 'score': 0.8730507, 'index': 1, 'word': 'On', 'start': 0, 'end': 2}"
21,21,"This economist connects cosmos and taxis with thesis and nomos in three volumes entitled ""Rules and Order,"" He wrote ""The Mirage of Social Justice"" in a work entitled Law, Legislation, and Liberty. Oskar Ryszard Lange was rebuked by this economist in an essay entitled ""The Use of Knowledge in Society,"" which is contained in a work entitled Individualism and Economic Order. Three parts entitled ""The Value of Freedom,"" ""Freedom and the Law,"" and ""Freedom in the Welfare State"" comprise his The Constitution of Liberty, which he appended with the postscript ""Why I am Not a Conservative."" For 10 points, name this Austrian-born economist who used Nazi Germany and the Soviet Union as examples of arguing that collectivism tends to lead to tyranny in The Road to Serfdom.",Friedrich von Hayek,On_Liberty,False,5,2,0,10,"{'entity': 'I-ORG', 'score': 0.8730507, 'index': 1, 'word': 'On', 'start': 0, 'end': 2}"
22,22,".One reform proclamation in this polity was the ""Noble Edict of the Rose Chamber,"" and a period of reform here was known as the Tulip Period",Ottoman Empire,Edict_of_Nantes,False,2,3,0,15,"{'entity': 'I-MISC', 'score': 0.6967835, 'index': 1, 'word': 'Ed', 'start': 0, 'end': 2}"
23,23,".One reform proclamation in this polity was the ""Noble Edict of the Rose Chamber,"" and a period of reform here was known as the Tulip Period. This polity employed local governors called Armatoles",Ottoman Empire,Edict_of_Nantes,False,3,3,0,15,"{'entity': 'I-MISC', 'score': 0.6967835, 'index': 1, 'word': 'Ed', 'start': 0, 'end': 2}"
24,24,".One reform proclamation in this polity was the ""Noble Edict of the Rose Chamber,"" and a period of reform here was known as the Tulip Period. This polity employed local governors called Armatoles. Karayazici led bandits here in the Jelali revolts",Ottoman Empire,Edict_of_Nantes,False,4,3,0,15,"{'entity': 'I-MISC', 'score': 0.6967835, 'index': 1, 'word': 'Ed', 'start': 0, 'end': 2}"
25,25,".One reform proclamation in this polity was the ""Noble Edict of the Rose Chamber,"" and a period of reform here was known as the Tulip Period. This polity employed local governors called Armatoles. Karayazici led bandits here in the Jelali revolts. This nation used land grants called Timar, and it employed the devsirme system",Ottoman Empire,Edict_of_Nantes,False,5,3,0,15,"{'entity': 'I-MISC', 'score': 0.6967835, 'index': 1, 'word': 'Ed', 'start': 0, 'end': 2}"
26,26,".One reform proclamation in this polity was the ""Noble Edict of the Rose Chamber,"" and a period of reform here was known as the Tulip Period. This polity employed local governors called Armatoles. Karayazici led bandits here in the Jelali revolts. This nation used land grants called Timar, and it employed the devsirme system. Treaties governing the rights of foreigners here were known as Capitulations",Ottoman Empire,Edict_of_Nantes,False,6,3,0,15,"{'entity': 'I-MISC', 'score': 0.6967835, 'index': 1, 'word': 'Ed', 'start': 0, 'end': 2}"
27,27,".One reform proclamation in this polity was the ""Noble Edict of the Rose Chamber,"" and a period of reform here was known as the Tulip Period. This polity employed local governors called Armatoles. Karayazici led bandits here in the Jelali revolts. This nation used land grants called Timar, and it employed the devsirme system. Treaties governing the rights of foreigners here were known as Capitulations. This nation undertook the Tanzimat reforms, and its government was referred to as the Sublime Porte",Ottoman Empire,Edict_of_Nantes,False,7,3,0,15,"{'entity': 'I-MISC', 'score': 0.6967835, 'index': 1, 'word': 'Ed', 'start': 0, 'end': 2}"
28,28,".One reform proclamation in this polity was the ""Noble Edict of the Rose Chamber,"" and a period of reform here was known as the Tulip Period. This polity employed local governors called Armatoles. Karayazici led bandits here in the Jelali revolts. This nation used land grants called Timar, and it employed the devsirme system. Treaties governing the rights of foreigners here were known as Capitulations. This nation undertook the Tanzimat reforms, and its government was referred to as the Sublime Porte. Local rebellions against this polity were led by Alexander Ypsilanti and by Muhammad Ali",Ottoman Empire,Muhammad,False,8,1,0,8,"{'entity': 'I-PER', 'score': 0.99156815, 'index': 1, 'word': 'Muhammad', 'start': 0, 'end': 8}"
29,29,".One reform proclamation in this polity was the ""Noble Edict of the Rose Chamber,"" and a period of reform here was known as the Tulip Period. This polity employed local governors called Armatoles. Karayazici led bandits here in the Jelali revolts. This nation used land grants called Timar, and it employed the devsirme system. Treaties governing the rights of foreigners here were known as Capitulations. This nation undertook the Tanzimat reforms, and its government was referred to as the Sublime Porte. Local rebellions against this polity were led by Alexander Ypsilanti and by Muhammad Ali. The dissolution of this empire was accomplished by the treaties of Lausanne and Sèvres",Ottoman Empire,Edict_of_Nantes,False,9,3,0,15,"{'entity': 'I-MISC', 'score': 0.6967835, 'index': 1, 'word': 'Ed', 'start': 0, 'end': 2}"
30,30,".One reform proclamation in this polity was the ""Noble Edict of the Rose Chamber,"" and a period of reform here was known as the Tulip Period. This polity employed local governors called Armatoles. Karayazici led bandits here in the Jelali revolts. This nation used land grants called Timar, and it employed the devsirme system. Treaties governing the rights of foreigners here were known as Capitulations. This nation undertook the Tanzimat reforms, and its government was referred to as the Sublime Porte. Local rebellions against this polity were led by Alexander Ypsilanti and by Muhammad Ali. The dissolution of this empire was accomplished by the treaties of Lausanne and Sèvres. For 10 points, name this ""sick man of Europe,"" an empire lasting until 1922 in Istanbul",Ottoman Empire,Istanbul,False,10,1,0,8,"{'entity': 'I-LOC', 'score': 0.9978968, 'index': 1, 'word': 'Istanbul', 'start': 0, 'end': 8}"
31,31,".One reform proclamation in this polity was the ""Noble Edict of the Rose Chamber,"" and a period of reform here was known as the Tulip Period. This polity employed local governors called Armatoles. Karayazici led bandits here in the Jelali revolts. This nation used land grants called Timar, and it employed the devsirme system. Treaties governing the rights of foreigners here were known as Capitulations. This nation undertook the Tanzimat reforms, and its government was referred to as the Sublime Porte. Local rebellions against this polity were led by Alexander Ypsilanti and by Muhammad Ali. The dissolution of this empire was accomplished by the treaties of Lausanne and Sèvres. For 10 points, name this ""sick man of Europe,"" an empire lasting until 1922 in Istanbul.",Ottoman Empire,Istanbul,False,11,1,0,8,"{'entity': 'I-LOC', 'score': 0.9978968, 'index': 1, 'word': 'Istanbul', 'start': 0, 'end': 8}"
32,32,"One reform proclamation in this polity was the ""Noble Edict of the Rose Chamber,"" and a period of reform here was known as the Tulip Period. This polity employed local governors called Armatoles. Karayazici led bandits here in the Jelali revolts. This nation used land grants called Timar, and it employed the devsirme system. Treaties governing the rights of foreigners here were known as Capitulations. This nation undertook the Tanzimat reforms, and its government was referred to as the Sublime Porte. Local rebellions against this polity were led by Alexander Ypsilanti and by Muhammad Ali. The dissolution of this empire was accomplished by the treaties of Lausanne and Sèvres. For 10 points, name this ""sick man of Europe,"" an empire lasting until 1922 in Istanbul.",Ottoman Empire,Istanbul,False,10,1,0,8,"{'entity': 'I-LOC', 'score': 0.9978968, 'index': 1, 'word': 'Istanbul', 'start': 0, 'end': 8}"
33,33,.Two volumes about this thinker titled Epistemology and Ontology were written by M,John Locke,Knowledge,False,2,1,0,9,
34,34,.Two volumes about this thinker titled Epistemology and Ontology were written by M.R,John Locke,Knowledge,False,3,1,0,9,
35,35,".Two volumes about this thinker titled Epistemology and Ontology were written by M.R. Ayers, one of the foremost authorities on this man's work",John Locke,Knowledge,False,4,1,0,9,
36,36,".Two volumes about this thinker titled Epistemology and Ontology were written by M.R. Ayers, one of the foremost authorities on this man's work. One work by this author argues that magistrates are limited by having only external authority, while the title attitude helps to eliminate civil unrest",John Locke,Knowledge,False,5,1,0,9,
37,37,".Two volumes about this thinker titled Epistemology and Ontology were written by M.R. Ayers, one of the foremost authorities on this man's work. One work by this author argues that magistrates are limited by having only external authority, while the title attitude helps to eliminate civil unrest. Originally written to Phillip van Limborch, addressed as ""Honored Sir,"" that work still condemns atheists as untrustworthy",John Locke,Knowledge,False,6,1,0,9,
38,38,".Two volumes about this thinker titled Epistemology and Ontology were written by M.R. Ayers, one of the foremost authorities on this man's work. One work by this author argues that magistrates are limited by having only external authority, while the title attitude helps to eliminate civil unrest. Originally written to Phillip van Limborch, addressed as ""Honored Sir,"" that work still condemns atheists as untrustworthy. This author wrote a work whose first section is directed against Filmer's defense of the divine right of kings",John Locke,Knowledge,False,7,1,0,9,
39,39,".Two volumes about this thinker titled Epistemology and Ontology were written by M.R. Ayers, one of the foremost authorities on this man's work. One work by this author argues that magistrates are limited by having only external authority, while the title attitude helps to eliminate civil unrest. Originally written to Phillip van Limborch, addressed as ""Honored Sir,"" that work still condemns atheists as untrustworthy. This author wrote a work whose first section is directed against Filmer's defense of the divine right of kings. The second part of that work by this author claims that property results when work is done to improve nature, and outlines the shift from a state of nature to civil society",John Locke,Knowledge,False,8,1,0,9,
40,40,".Two volumes about this thinker titled Epistemology and Ontology were written by M.R. Ayers, one of the foremost authorities on this man's work. One work by this author argues that magistrates are limited by having only external authority, while the title attitude helps to eliminate civil unrest. Originally written to Phillip van Limborch, addressed as ""Honored Sir,"" that work still condemns atheists as untrustworthy. This author wrote a work whose first section is directed against Filmer's defense of the divine right of kings. The second part of that work by this author claims that property results when work is done to improve nature, and outlines the shift from a state of nature to civil society. For 10 points, name this British philosopher who wrote Two Treatises of Government",John Locke,Leviathan_(Hobbes_book),False,9,3,1,23,"{'entity': 'I-MISC', 'score': 0.8886453, 'index': 1, 'word': 'Levi', 'start': 0, 'end': 4}"
41,41,".Two volumes about this thinker titled Epistemology and Ontology were written by M.R. Ayers, one of the foremost authorities on this man's work. One work by this author argues that magistrates are limited by having only external authority, while the title attitude helps to eliminate civil unrest. Originally written to Phillip van Limborch, addressed as ""Honored Sir,"" that work still condemns atheists as untrustworthy. This author wrote a work whose first section is directed against Filmer's defense of the divine right of kings. The second part of that work by this author claims that property results when work is done to improve nature, and outlines the shift from a state of nature to civil society. For 10 points, name this British philosopher who wrote Two Treatises of Government.",John Locke,Leviathan_(Hobbes_book),False,10,3,1,23,"{'entity': 'I-MISC', 'score': 0.8886453, 'index': 1, 'word': 'Levi', 'start': 0, 'end': 4}"
42,42,"Two volumes about this thinker titled Epistemology and Ontology were written by M.R. Ayers, one of the foremost authorities on this man's work. One work by this author argues that magistrates are limited by having only external authority, while the title attitude helps to eliminate civil unrest. Originally written to Phillip van Limborch, addressed as ""Honored Sir,"" that work still condemns atheists as untrustworthy. This author wrote a work whose first section is directed against Filmer's defense of the divine right of kings. The second part of that work by this author claims that property results when work is done to improve nature, and outlines the shift from a state of nature to civil society. For 10 points, name this British philosopher who wrote Two Treatises of Government.",John Locke,Leviathan_(Hobbes_book),False,9,3,1,23,"{'entity': 'I-MISC', 'score': 0.8886453, 'index': 1, 'word': 'Levi', 'start': 0, 'end': 4}"
43,43,".This ruler's chief justice was Shigi Qutuqu, and he also appointed the minister Yelü Chucai",Genghis Khan [or Chinggis Khan or other reasonably close answers; accept Temüjin before it is read],ARCADIA,False,2,1,0,7,"{'entity': 'I-ORG', 'score': 0.97383094, 'index': 1, 'word': 'AR', 'start': 0, 'end': 2}"
44,44,".This ruler's chief justice was Shigi Qutuqu, and he also appointed the minister Yelü Chucai. An account of travels to this ruler's court was published as the Journey to the West of the Taoist monk Kiu Chang Chun",Genghis Khan [or Chinggis Khan or other reasonably close answers; accept Temüjin before it is read],Thelonious_Monk,False,3,2,0,15,"{'entity': 'I-PER', 'score': 0.99772245, 'index': 1, 'word': 'The', 'start': 0, 'end': 3}"
45,45,".This ruler's chief justice was Shigi Qutuqu, and he also appointed the minister Yelü Chucai. An account of travels to this ruler's court was published as the Journey to the West of the Taoist monk Kiu Chang Chun. This promulgator of the Yasa law code was served by the general Jebe, who died soon after a victory at the Battle of the Kalka River",Genghis Khan [or Chinggis Khan or other reasonably close answers; accept Temüjin before it is read],Thelonious_Monk,False,4,2,0,15,"{'entity': 'I-PER', 'score': 0.99772245, 'index': 1, 'word': 'The', 'start': 0, 'end': 3}"
46,46,".This ruler's chief justice was Shigi Qutuqu, and he also appointed the minister Yelü Chucai. An account of travels to this ruler's court was published as the Journey to the West of the Taoist monk Kiu Chang Chun. This promulgator of the Yasa law code was served by the general Jebe, who died soon after a victory at the Battle of the Kalka River. A prime source for this ruler's life is a Secret History, and he rose to power by allying with the Kerait ruler Toghrul before fighting a power struggle with Jamuka",Genghis Khan [or Chinggis Khan or other reasonably close answers; accept Temüjin before it is read],Thelonious_Monk,False,5,2,0,15,"{'entity': 'I-PER', 'score': 0.99772245, 'index': 1, 'word': 'The', 'start': 0, 'end': 3}"
47,47,".This ruler's chief justice was Shigi Qutuqu, and he also appointed the minister Yelü Chucai. An account of travels to this ruler's court was published as the Journey to the West of the Taoist monk Kiu Chang Chun. This promulgator of the Yasa law code was served by the general Jebe, who died soon after a victory at the Battle of the Kalka River. A prime source for this ruler's life is a Secret History, and he rose to power by allying with the Kerait ruler Toghrul before fighting a power struggle with Jamuka. This ruler conquered the Khwarezmid Empire and invaded the Tangut kingdom of Western Xia",Genghis Khan [or Chinggis Khan or other reasonably close answers; accept Temüjin before it is read],Thelonious_Monk,False,6,2,0,15,"{'entity': 'I-PER', 'score': 0.99772245, 'index': 1, 'word': 'The', 'start': 0, 'end': 3}"
48,48,".This ruler's chief justice was Shigi Qutuqu, and he also appointed the minister Yelü Chucai. An account of travels to this ruler's court was published as the Journey to the West of the Taoist monk Kiu Chang Chun. This promulgator of the Yasa law code was served by the general Jebe, who died soon after a victory at the Battle of the Kalka River. A prime source for this ruler's life is a Secret History, and he rose to power by allying with the Kerait ruler Toghrul before fighting a power struggle with Jamuka. This ruler conquered the Khwarezmid Empire and invaded the Tangut kingdom of Western Xia. This man's general Subotai would go on to serve his son and successor, Ogëdëi",Genghis Khan [or Chinggis Khan or other reasonably close answers; accept Temüjin before it is read],Thelonious_Monk,False,7,2,0,15,"{'entity': 'I-PER', 'score': 0.99772245, 'index': 1, 'word': 'The', 'start': 0, 'end': 3}"
49,49,".This ruler's chief justice was Shigi Qutuqu, and he also appointed the minister Yelü Chucai. An account of travels to this ruler's court was published as the Journey to the West of the Taoist monk Kiu Chang Chun. This promulgator of the Yasa law code was served by the general Jebe, who died soon after a victory at the Battle of the Kalka River. A prime source for this ruler's life is a Secret History, and he rose to power by allying with the Kerait ruler Toghrul before fighting a power struggle with Jamuka. This ruler conquered the Khwarezmid Empire and invaded the Tangut kingdom of Western Xia. This man's general Subotai would go on to serve his son and successor, Ogëdëi. For 10 points, name this conqueror, born Temüjin, who united the steppe tribes and founded the Mongol Empire",Genghis Khan [or Chinggis Khan or other reasonably close answers; accept Temüjin before it is read],Genghis_Khan,True,8,2,0,12,"{'entity': 'I-PER', 'score': 0.94405985, 'index': 1, 'word': 'Gen', 'start': 0, 'end': 3}"
50,50,".This ruler's chief justice was Shigi Qutuqu, and he also appointed the minister Yelü Chucai. An account of travels to this ruler's court was published as the Journey to the West of the Taoist monk Kiu Chang Chun. This promulgator of the Yasa law code was served by the general Jebe, who died soon after a victory at the Battle of the Kalka River. A prime source for this ruler's life is a Secret History, and he rose to power by allying with the Kerait ruler Toghrul before fighting a power struggle with Jamuka. This ruler conquered the Khwarezmid Empire and invaded the Tangut kingdom of Western Xia. This man's general Subotai would go on to serve his son and successor, Ogëdëi. For 10 points, name this conqueror, born Temüjin, who united the steppe tribes and founded the Mongol Empire.",Genghis Khan [or Chinggis Khan or other reasonably close answers; accept Temüjin before it is read],Genghis_Khan,True,9,2,0,12,"{'entity': 'I-PER', 'score': 0.94405985, 'index': 1, 'word': 'Gen', 'start': 0, 'end': 3}"
51,51,"This ruler's chief justice was Shigi Qutuqu, and he also appointed the minister Yelü Chucai. An account of travels to this ruler's court was published as the Journey to the West of the Taoist monk Kiu Chang Chun. This promulgator of the Yasa law code was served by the general Jebe, who died soon after a victory at the Battle of the Kalka River. A prime source for this ruler's life is a Secret History, and he rose to power by allying with the Kerait ruler Toghrul before fighting a power struggle with Jamuka. This ruler conquered the Khwarezmid Empire and invaded the Tangut kingdom of Western Xia. This man's general Subotai would go on to serve his son and successor, Ogëdëi. For 10 points, name this conqueror, born Temüjin, who united the steppe tribes and founded the Mongol Empire.",Genghis Khan [or Chinggis Khan or other reasonably close answers; accept Temüjin before it is read],Genghis_Khan,True,8,2,0,12,"{'entity': 'I-PER', 'score': 0.94405985, 'index': 1, 'word': 'Gen', 'start': 0, 'end': 3}"
52,52,".In Drosophila, the fuzzy onions gene regulates the fusion of these organelles in sperm, which creates the nebenkern", mitochondria [or mitochondrion],Drosophila_melanogaster,False,2,2,0,23,"{'entity': 'I-MISC', 'score': 0.33656478, 'index': 1, 'word': 'Dr', 'start': 0, 'end': 2}"
